Date,EURUSD,GLD,IEF,SPY,UNG,USDJPY,USO
2019-04-16,1.1304928064346311,120.51000213623048,89.64295196533203,262.1000366210937,90.63999938964844,111.94300079345705,106.95999908447266
2019-04-17,1.128502607345581,120.27999877929688,89.6600112915039,261.45880126953125,88.36000061035156,111.99299621582033,106.23999786376952
2019-04-18,1.129713773727417,120.37000274658205,89.87332153320312,261.97369384765625,87.76000213623047,112.03600311279295,106.55999755859376
2019-04-22,1.1244546175003052,120.37000274658205,89.74537658691406,262.199462890625,88.5999984741211,111.91000366210938,109.36000061035156
2019-04-23,1.1258978843688965,120.12000274658205,89.90746307373047,264.5569763183594,86.5999984741211,111.9290008544922,110.31999969482422
2019-04-24,1.122435212135315,120.47000122070312,90.24878692626952,263.96990966796875,86.55999755859375,111.8769989013672,109.44000244140624
2019-04-25,1.1153494119644165,120.56999969482422,90.13780975341795,263.8072509765625,87.83999633789062,112.12999725341795,108.23999786376952
2019-04-26,1.113684892654419,121.37000274658205,90.37680053710938,265.0357666015625,89.5199966430664,111.53900146484376,104.72000122070312
2019-04-29,1.1150261163711548,120.83000183105467,90.18905639648438,265.4512634277344,89.87999725341797,111.59300231933594,105.83999633789062
2019-04-30,1.1185182332992554,121.1999969482422,90.36821746826172,265.5868835449219,89.31999969482422,111.677001953125,106.31999969482422
2019-05-01,1.121604323387146,120.4000015258789,90.3271942138672,263.590576171875,90.4800033569336,111.3949966430664,105.76000213623048
2019-05-02,1.1200841665267944,119.94000244140624,90.0707015991211,263.0214233398437,89.55999755859375,111.4520034790039,102.55999755859376
2019-05-03,1.1173559427261353,120.6500015258789,90.19039154052734,265.59588623046875,88.76000213623047,111.49500274658205,102.95999908447266
2019-05-06,1.1185808181762695,120.80999755859376,90.4212646484375,264.5028991699219,87.63999938964844,110.6230010986328,104.55999755859376
2019-05-07,1.1201846599578855,121.20999908447266,90.7291030883789,260.08575439453125,88.0,110.80500030517578,101.83999633789062
2019-05-08,1.1191065311431885,120.91000366210938,90.55809783935548,259.7243957519531,90.23999786376952,110.25700378417967,103.12000274658205
2019-05-09,1.1198333501815796,121.1999969482422,90.79750061035156,258.9385986328125,89.68000030517578,110.02799987792967,102.4800033569336
2019-05-10,1.1222084760665894,121.43000030517578,90.73765563964844,260.2392883300781,90.83999633789062,109.80699920654295,102.72000122070312
2019-05-13,1.1236460208892822,122.66999816894533,91.19082641601562,253.6994781494141,90.83999633789062,109.65399932861328,101.44000244140624
2019-05-14,1.1232547760009766,122.45999908447266,91.10533142089844,255.9938507080078,91.83999633789062,109.15399932861328,102.95999908447266
2019-05-15,1.1204482316970823,122.38999938964844,91.39599609375,257.4933166503906,90.23999786376952,109.6709976196289,103.76000213623048
2019-05-16,1.1207244396209717,121.51000213623048,91.21647644042967,259.87799072265625,91.44000244140624,109.4749984741211,105.12000274658205
2019-05-17,1.1173559427261353,120.6500015258789,91.25920867919922,258.1979675292969,91.0,109.87100219726562,104.63999938964844
2019-05-20,1.1165324449539185,120.63999938964844,91.10533142089844,256.4906616210937,92.1999969482422,110.16000366210938,105.1999969482422
2019-05-21,1.1168566942214966,120.36000061035156,91.00269317626952,258.8031005859375,90.68000030517578,110.06999969482422,105.04000091552734
2019-05-23,1.1155484914779663,121.16999816894533,91.83210754394533,254.85574340820312,88.72000122070312,110.22100067138672,96.72000122070312
2019-05-24,1.1184556484222412,121.3000030517578,91.80640411376952,255.43380737304688,89.27999877929688,109.55799865722656,97.83999633789062
2019-05-28,1.11938214302063,120.83000183105467,92.20832824707033,253.0581512451172,88.4800033569336,109.50900268554688,97.83999633789062
2019-05-29,1.1170687675476074,120.87000274658205,92.17414093017578,251.35986328125,89.76000213623047,109.34600067138672,97.91999816894533
2019-05-30,1.1137346029281616,121.69000244140624,92.50760650634766,252.04635620117188,87.68000030517578,109.54199981689452,94.08000183105467
2019-05-31,1.1131147146224976,123.33000183105467,93.12326049804688,248.6500244140625,84.19999694824219,109.35700225830078,88.80000305175781
2019-06-03,1.1174057722091677,125.11000061035156,93.57125091552734,248.0177764892578,82.36000061035156,108.21199798583984,87.91999816894531
2019-06-04,1.124631643295288,125.1500015258789,93.22860717773438,253.4013671875,82.95999908447266,108.0270004272461,89.27999877929688
2019-06-05,1.1254037618637085,125.47000122070312,93.22860717773438,255.59640502929688,81.44000244140625,108.25399780273438,86.16000366210938
2019-06-06,1.1229015588760376,125.87999725341795,93.21146392822266,257.2583923339844,80.04000091552734,108.3280029296875,88.4800033569336
2019-06-07,1.127650022506714,126.58999633789062,93.57984924316406,259.8328552246094,80.19999694824219,108.4540023803711,89.83999633789062
2019-06-10,1.1320157051086426,125.33000183105467,93.1172103881836,261.0251770019531,80.80000305175781,108.4489974975586,88.87999725341797
2019-06-11,1.1318106651306152,125.18000030517578,93.1172103881836,260.9619140625,82.08000183105469,108.35900115966795,88.87999725341797
2019-06-12,1.1329518556594849,125.83000183105467,93.35709381103516,260.5013122558594,81.4000015258789,108.4739990234375,85.12000274658203
2019-06-13,1.1295605897903442,126.5999984741211,93.58841705322266,261.576171875,79.83999633789062,108.48799896240234,87.04000091552734
2019-06-14,1.128044366836548,126.55999755859376,93.65695190429688,261.2872009277344,81.76000213623047,108.3209991455078,87.5199966430664
2019-06-17,1.1217050552368164,126.4800033569336,93.63982391357422,261.386474609375,81.19999694824219,108.57599639892578,86.4800033569336
2019-06-18,1.1224603652954102,127.12000274658205,93.81973266601562,264.1234130859375,79.5199966430664,108.53900146484376,90.0
2019-06-19,1.1198208332061768,127.88999938964844,94.07673645019533,264.7197265625,78.0,108.572998046875,90.63999938964844
2019-06-20,1.1238480806350708,131.11000061035156,94.23097229003906,267.24884033203125,75.19999694824219,108.11499786376952,94.8000030517578
2019-06-21,1.1295605897903442,131.97999572753906,93.8454132080078,266.86041259765625,74.76000213623047,107.2770004272461,95.76000213623048
2019-06-24,1.1384724378585815,133.94000244140625,94.17098236083984,266.53369140625,78.36000061035156,107.31199645996094,96.08000183105467
