Date,VT,IEF,STIP,GSG,SGOL
2016-04-07,45.19721984863281,87.20010375976562,73.53498840332031,13.510000228881836,12.100000381469728
2016-04-08,45.621883392333984,87.06661987304688,73.54954528808594,13.949999809265137,12.09000015258789
2016-04-11,45.66995620727539,87.05085754394531,73.50570678710938,14.0600004196167,12.241999626159668
2016-04-12,46.21478271484375,86.70533752441406,73.4472427368164,14.43000030517578,12.248000144958496
2016-04-13,46.84775161743164,86.76821899414062,73.4472427368164,14.390000343322754,12.116000175476074
2016-04-14,46.80768203735352,86.56399536132812,73.344970703125,14.329999923706056,11.940999984741213
2016-04-15,46.74359130859375,86.8231430053711,73.38153076171875,14.210000038146973,12.029000282287598
2016-04-18,47.05606460571289,86.73678588867188,73.31578826904297,14.199999809265137,12.003999710083008
2016-04-19,47.54482269287109,86.59539794921875,73.3888168334961,14.510000228881836,12.182000160217283
2016-04-20,47.56085205078125,86.15565490722656,73.35227966308594,14.829999923706056,12.131999969482422
2016-04-21,47.28843307495117,86.01433563232422,73.33039093017578,14.760000228881836,12.180999755859377
2016-04-22,47.264408111572266,85.92008209228516,73.344970703125,14.68000030517578,12.019000053405762
2016-04-25,47.11216354370117,85.82582092285156,73.30842590332031,14.600000381469728,12.062999725341797
2016-04-26,47.280418395996094,85.64517211914062,73.28652954101562,14.84000015258789,12.111000061035156
2016-04-27,47.33649826049805,86.11642456054688,73.3961181640625,15.050000190734863,12.133000373840332
2016-04-28,46.9759521484375,86.41481018066406,73.54954528808594,15.100000381469728,12.36299991607666
2016-04-29,46.6875,86.38343048095703,73.56417846679688,15.220000267028809,12.60099983215332
2016-05-02,47.01601409912109,86.13250732421875,73.46919250488281,14.970000267028809,12.583000183105469
2016-05-03,46.40706634521485,86.64373779296875,73.52764129638672,14.699999809265137,12.541999816894531
2016-05-04,46.0064697265625,86.80099487304688,73.52037048339844,14.699999809265137,12.475000381469728
2016-05-05,45.99845504760742,87.03693389892578,73.57150268554688,14.670000076293944,12.447999954223633
2016-05-06,46.150672912597656,86.83241271972656,73.54222869873047,14.770000457763672,12.562000274658203
2016-05-09,45.97441101074219,86.99761199951172,73.55685424804688,14.420000076293944,12.303999900817873
2016-05-10,46.639442443847656,86.98186492919922,73.62263488769531,14.800000190734863,12.343000411987305
2016-05-11,46.31093215942383,87.11554718017578,73.61532592773438,15.130000114440918,12.45400047302246
2016-05-12,46.23080062866211,86.87965393066406,73.6080322265625,15.18000030517578,12.355999946594238
2016-05-13,45.78211212158203,87.2099609375,73.64454650878906,15.149999618530272,12.407999992370604
2016-05-16,46.29490280151367,86.89539337158203,73.61532592773438,15.43000030517578,12.42300033569336
2016-05-17,45.91032409667969,86.77742767333984,73.64454650878906,15.579999923706056,12.468999862670898
2016-05-18,45.88627624511719,86.07745361328125,73.4181137084961,15.390000343322754,12.25100040435791
2016-05-19,45.63790130615234,86.1639633178711,73.4326400756836,15.369999885559082,12.222999572753906
2016-05-20,46.02249526977539,86.21898651123047,73.46919250488281,15.390000343322754,12.20199966430664
2016-05-23,45.878265380859375,86.27406311035156,73.4472427368164,15.25,12.17199993133545
2016-05-24,46.54328918457031,86.13250732421875,73.41073608398438,15.31999969482422,11.965999603271484
2016-05-25,46.89582824707031,86.09321594238281,73.46919250488281,15.510000228881836,11.930999755859377
2016-05-26,46.9519157409668,86.3605728149414,73.53498840332031,15.520000457763672,11.88599967956543
2016-05-27,47.024024963378906,86.1954116821289,73.52037048339844,15.579999923706056,11.795000076293944
2016-05-31,46.99197769165039,86.29765319824219,73.49109649658203,15.420000076293944,11.838000297546388
2016-06-01,47.08010482788086,86.26856994628906,73.4472427368164,15.56999969482422,11.821999549865724
2016-06-02,47.19229507446289,86.53631591796875,73.52037048339844,15.619999885559082,11.793999671936035
2016-06-03,47.32848739624024,87.33969116210938,73.75418853759766,15.670000076293944,12.118000030517578
2016-06-06,47.60091018676758,87.11128234863281,73.79070281982422,15.84000015258789,12.133000373840332
2016-06-07,47.897369384765625,87.23729705810547,73.87106323242188,15.970000267028809,12.114999771118164
2016-06-08,48.02556228637695,87.33969116210938,73.9222183227539,16.25,12.293999671936035
2016-06-09,47.713077545166016,87.47359466552734,73.9660415649414,16.149999618530273,12.368000030517578
2016-06-10,46.82371520996094,87.78079223632812,73.9660415649414,15.84000015258789,12.418999671936035
2016-06-13,46.36701965332031,87.95402526855469,73.94412231445312,15.770000457763672,12.506999969482422
2016-06-14,46.03263092041016,87.93038940429688,73.93684387207031,15.699999809265137,12.52299976348877
2016-06-15,46.23455429077149,88.19821166992188,74.06102752685547,15.520000457763672,12.60200023651123
2016-06-16,46.25877380371094,88.29273223876953,73.95143127441406,15.199999809265137,12.479999542236328
2016-06-17,46.34762191772461,87.99343872070312,73.95877075195312,15.65999984741211,12.647000312805176
2016-06-20,46.98574066162109,87.61531066894531,73.90030670166016,15.81999969482422,12.55500030517578
2016-06-21,47.18767166137695,87.41848754882812,73.79070281982422,15.75,12.32699966430664
2016-06-22,47.106895446777344,87.59172821044922,73.87106323242188,15.609999656677246,12.338000297546388
2016-06-23,48.05194854736328,87.17427062988281,73.90030670166016,15.789999961853027,12.24899959564209
2016-06-24,45.49951553344727,88.3793716430664,74.00257873535156,15.300000190734863,12.845999717712402
2016-06-27,44.52215576171875,89.14332580566406,73.99527740478516,15.1899995803833,12.920000076293944
2016-06-28,45.4914436340332,89.12760925292969,74.07565307617188,15.460000038146973,12.782999992370604
2016-06-29,46.31533050537109,88.76529693603516,74.08296966552734,15.6899995803833,12.824999809265137
2016-06-30,46.90496826171875,88.96219635009766,74.17797088623047,15.520000457763672,12.895000457763672
2016-07-01,47.12306594848633,89.19723510742188,74.26558685302734,15.710000038146973,13.095000267028809
2016-07-05,46.48494338989258,89.68624877929688,74.32408905029297,15.15999984741211,13.199999809265137
2016-07-06,46.60609436035156,89.70201873779297,74.33869171142578,15.229999542236328,13.28499984741211
2016-07-07,46.46880340576172,89.58370208740234,74.32408905029297,14.720000267028809,13.234999656677246
2016-07-08,47.211910247802734,89.75724029541016,74.29483032226562,14.850000381469728,13.309000015258787
2016-07-11,47.63999557495117,89.28401184082031,74.19256591796875,14.699999809265137,13.187999725341797
2016-07-12,48.0761833190918,88.75555419921875,74.17063903808594,15.109999656677246,12.972000122070312
2016-07-13,48.05194854736328,88.9842758178711,74.19987487792969,14.850000381469728,13.086000442504885
2016-07-14,48.41542434692383,88.61356353759766,74.17063903808594,14.920000076293944,12.991999626159668
2016-07-15,48.3104248046875,88.27445983886719,74.14871215820312,14.9399995803833,12.925000190734863
2016-07-18,48.42350769042969,88.25077819824219,74.13407135009766,14.829999923706056,12.958999633789062
2016-07-19,48.16504287719727,88.48739624023438,74.09761810302734,14.670000076293944,12.975000381469728
2016-07-20,48.431583404541016,88.30598449707031,74.02449798583984,14.609999656677246,12.791999816894531
2016-07-21,48.2700424194336,88.503173828125,74.06102752685547,14.479999542236328,12.989999771118164
2016-07-22,48.4558219909668,88.43214416503906,74.0172348022461,14.43000030517578,12.890000343322754
2016-07-25,48.3104248046875,88.36119842529297,73.95877075195312,14.25,12.793999671936035
